id,navn,avsender,underkategori,pulje,hovedposisjon,dissens,arg_n,argumenter,hovedbudskap
203,Privatperson,,pårørende_eller_pasient,,A_klar,False,14,pem_kjerne;pem_definisjon;egen_retningslinje;canadakriteriene_støtte;biopsykososial_kritikk;nice_2021;aktivitet_pacing;kunnskapsgrunnlag_smalt;kunnskapsgrunnlag_brukererfaring;alvorlig_syke;barn_og_unge;tvang_pasientvern;kompetanseheving;implementering_konkret,"Nynorsk innspill fra familie med ME-erfaring. Krever separate retningslinjer etter NICE 2021-modell. Identifiserer at fastlege som spesialist i allmennmedisin ikke kan sette ME-diagnose i ICD – etterspør avklaring. Påpeker at ME-foreningens spørreundersøkelsessammenstilling viser at aktivitetsavpassing oftest fører til bedring, mens gjentatt PEM fører til langvarig forverring. Sterk kritikk av Nasjonal kompetansetjeneste som ikke fungerer som spesialisthelsetjeneste. Refererer Signe Flottorps innvendinger mot NICE som 'grundig tilbakevist'."
204,Privatperson,,fagperson_privat_sannsynlig,,A_klar,False,10,pem_kjerne;pem_definisjon;skille_me_utmattelse;biopsykososial_kritikk;kognitiv_terapi_kritikk;kunnskapsgrunnlag_smalt;kunnskapsgrunnlag_forskning;alvorlig_syke;kompetanseheving;implementering_konkret,"Privatpersonen leverer eksepsjonelt detaljert metodisk kritikk av forskningsgrunnlaget. Identifiserer at Kong et al. 2023 har statistisk signifikant effekt KUN med passive kontrollgrupper, ikke med aktive – feilaktig presentert i retningslinjen. Påpeker at Maas et al. 2024-studiene inkluderer CFS men ikke ME/CFS, kun én tar hensyn til PEM, kun to inkluderer LC. Tre grupper av studier (aktivitet alene, KAT alene, kombinasjon) burde vært analysert hver for seg. Krever LC/senfølger Covid-19 eksplisitt inkludert gjennom hele dokumentet. Refererer Appelman 2024 muskelbiopsi-funn, Aschman 2023, Baalbaki 2025, Diar Bakerly 2024."
205,Tromsø kommune,,,,tjenestefaglig,False,5,tjenester_samhandling;implementering_konkret;alvorlig_syke;barn_og_unge;nav_arbeidsliv,Tromsø kommune leverer pragmatisk innspill fra tjenestesiden. Hovedinnvending: retningslinjen flytter mye ansvar fra spesialisthelsetjeneste til fastlege uten å overføre ressurser. Vil ha tverrfaglig ansvarsfordeling tydeliggjort. Påpeker at ny veileder mister praktisk veiledning fra gammel veileder for de sykeste pasientene. Kritisk til anbefaling om aktivt å følge opp pasienter som takker nei til hjelp – mener gjeldende lovverk for informert samtykke er tilstrekkelig. Vil ha tidligere henvisning av barn til spesialisthelsetjenesten.
206,Nasjonal kompetansetjeneste for CFS/ME,,,,B_klar,False,11,biopsykososial_støtte;canadakriteriene_kritikk;nevroplastisitet;kognitiv_terapi_støtte;aktivitet_gradvis_økning;tilfriskning_håp;nocebo;psykologisering;kunnskapsgrunnlag_forskning;barn_og_unge;arbeidsgruppe_kritikk,NKT-CFS/ME er en av de tyngste B-aktørene og leverer omfattende kritikk av retningslinjen. Vil ha felles veileder for alle former for langvarig utmattelse inkludert CFS/ME – fraråder uttrykkelig at det lages atskilte retningslinjer slik pasientorganisasjonene foreslår. Argumenterer for biopsykososial forståelsesmodell og prediktiv/interoseptiv hjernemodell ('alle symptomer er en hjernefunksjon'). Etterlyser at kognitiv atferdsterapi får eksplisitt plass som anbefalt behandling. Kritiserer at aktivitetsregulering legges opp uten 'gradvis økning av aktivitet'. Vil ha tilfriskning – ikke bare mestring – som mål. NKT-CFS/ME 'støtter dissensene' – men disse er andre dissenser enn pasientorganisasjonenes; det dreier seg om to allmennleger og representant fra Kysthospitalet/tertiærsykehus som har tatt dissens fra B-siden.
207,"Oslo universitetssykehus - Barne- og ungdomsklinikken del 1 (Avd. for barn og unges psykiske helse på sykehus, Fagråd Ergoterapi, CFS/ME-senteret)",,,,B_klar,False,11,biopsykososial_støtte;nevroplastisitet;kognitiv_terapi_støtte;aktivitet_gradvis_økning;tilfriskning_håp;nocebo;psykologisering;barn_og_unge;kunnskapsgrunnlag_forskning;kompetanseheving;arbeidsgruppe_kritikk,"Samlet innspill fra tre OUS-enheter. Den mest detaljerte fagmedisinske B-stemmen i høringen. Forankret i prediktiv hjerne-modell (Löwe et al. 2024 Lancet om persistent physical symptoms), helseangst-konseptet og biopsykososial forståelsesramme. Krever omskrivning av store deler av retningslinjen. Vil at 'bedring' erstattes med 'tilfriskning' gjennomgående. Aktivitetsregulering må ha mål om gradvis økning og inkluderes som behandling. Kognitiv atferdsterapi må omtales spesifikt. Sterkt kritisk til at PEM gjøres til styrende premiss. Sterkt fokus på at hjernens iboende prediktive funksjon gjør at langvarige symptomer skaper videre symptomer. Vil ha symptomklinikk-modell etter Burton 2024 og Reme/Abrahamsen 2023."
208,"Avdeling for barn og unges psykiske helse på sykehus, OUS (forts. del 2)",,,,B_klar,False,10,biopsykososial_støtte;nevroplastisitet;kognitiv_terapi_støtte;aktivitet_gradvis_økning;tilfriskning_håp;nocebo;psykologisering;barn_og_unge;kunnskapsgrunnlag_forskning;kompetanseheving,"Direkte fortsettelse og duplisering av id 207, men her uten medsignering fra Fagråd Ergoterapi og CFS/ME-senteret. Innholdsmessig identisk linje fra Avdeling for barn og unges psykiske helse på sykehus (OUS Barne- og ungdomsklinikken). Samme prediktiv-hjerne-forankrede biopsykososiale tilnærming. Behandles som ett samlet hovedinnspill med id 207 ved aggregering."
209,Sørlandet sykehus HF (SSHF),,,,B_modifisert,False,8,biopsykososial_støtte;aktivitet_gradvis_økning;kognitiv_terapi_støtte;nocebo;tilfriskning_håp;kunnskapsgrunnlag_forskning;psykologisering;implementering_konkret,"SSHF (Infeksjonsseksjonen) etterlyser tydeligere evidensgradering (GRADE, PICO-spørsmål) etter mal fra hjerneslag-retningslinjen. Sterk B-posisjon: påpeker at biopsykososial modell er fraværende i øvrige avsnitt utenfor innledningen, og at retningslinjen bærer 'stort preg av tidligere CFS/ME-veileder'. Vil ha tydeligere anbefaling om gradvis aktivitetsøkning – ikke bare tilpasning til 'her og nå'-symptomer. CFS/ME er en eksklusjonsdiagnose, dette må fremkomme. Bekymret for noceboeffekt av forklaringsmodeller og symptomovervåking."
21,"Privatperson (64. mal-instans, PEM-kriterium)",,pasient_eller_pårørende_mal_pluss,,A_klar,False,3,egen_retningslinje;stan_mal_setning;pem_kriterium_obligatorisk,64. mal-instans. 64. mal-instans + PEM-kriterium.
210,Privatperson,,pasient_selv,,A_klar,False,18,pem_kjerne;pem_definisjon;egen_retningslinje;skille_me_utmattelse;canadakriteriene_støtte;biopsykososial_kritikk;nice_2021;aktivitet_pacing;kognitiv_terapi_kritikk;kunnskapsgrunnlag_brukererfaring;kunnskapsgrunnlag_forskning;alvorlig_syke;barn_og_unge;nav_arbeidsliv;kompetanseheving;implementering_konkret;tvang_pasientvern;psykologisering,"Strukturert privatperson som krever egen retningslinje for ME med G93.3-diagnose, med PEM forklart grundig som kardinalsymptom. Bruker systematisk overskrifter og bulletpoint-format gjennom alle 15 felter. Sentralt: Hvis ikke egen retningslinje, må ME med PEM komme først, fordi det er her størst fare for å skade. Foreslår at A04-koden (slapphet/tretthet) ikke skal lede pasienten inn i et utmattelsesspor – dersom A04 brukes, må det stå «mulig ME» i tillegg. Påpeker at standard kommunal hjemmehjelp ikke er egnet, og at praktisk hjelp må inn som nødvendig del av behandlingen, ikke som noe man må søke om og kjempe for. Henviser til ME og skole-verktøykasse fra Norges ME-forening Rogaland fylkeslag. Forfatter er selv «mot alvorlig grad». Avslutter med ønske om grunnstønad/hjelpestønad og kritikk av at NAV motarbeider både pasient og fastlege."
211,"Privatperson (crossfit-trigger, 3 ukers hytte-isolasjon)",,pasient_utbrenthet_radikal_skjerming,,B_modifisert,False,13,utmattelse_overbelastning;total_ro_ansvarsfrihet;lyd_lys_intoleranse;tre_uker_hytte_isolasjon;lav_toleransevindu;muskler_slo_seg_av;feberfølelse_lett_bevegelse;crossfit_trigger;vegg_møte;treningsmengde_for_høy;familieliv_lite_restitusjon;dårlig_arbeidsmiljø;stimuli_overstimulering,"B_modifisert pasient med klassisk utbrenthets-/overbelastnings-utmattelse triggert av crossfit-trening. Beskriver dramatisk sykdomsdebut: 'Musklene ble plutselig svake og opplevdes som om de slo seg av'. Bakgrunn: kombinert vedvarende høy arbeidsbelastning, stor treningsmengde, familieliv med lite restitusjon, svært dårlig/belastende arbeidsmiljø. Symptomer: total utmattelse, feberfølelse ved lett bevegelse, svimmelhet, sterk hodepine. Sentralt poeng: 'Jeg utviklet svært lav toleranse for stimuli. Lyder, mennesker og krav førte raskt til forverring av symptomer'. **Behandlingsforslag i fastlege_helhetlig**: 'Fastlege bør kun anbefale: Total ro, ansvarsfrihet og fravær av krav'. **Egen behandlingsstrategi**: 'Jeg dro alene på hytte i tre uker' der innsender sov store deler av døgnet — direkte parallell til OKU/Karlsons-radikal skjerming (jf. id 200 som dro fire uker på hytte)."
212,ME Foreningen (Danmark),,,,A_klar,False,10,pem_kjerne;egen_retningslinje;skille_me_utmattelse;biopsykososial_kritikk;nice_2021;aktivitet_pacing;kognitiv_terapi_kritikk;alvorlig_syke;barn_og_unge;psykologisering,"Dansk søsterforening leverer skarp kritikk av at retningslinjen blander ME/CFS (8E49) med uspesifikk langvarig utmattelse og dermed opprettholder et 'foreldet psykososialt paradigme'. Argumenterer for at PEM må være styrende. Henviser til britiske rettssaker om dødsfall (Maeve Boothby O'Neill 2024, Sarah Lewis 2025) som dokumentasjon på risiko ved feilbehandling. Vil ha egen retningslinje for ME/CFS forankret i NICE, IOM, Mayo Clinic, D-A-CH konsensus, EUROMENE og US ME/CFS Clinician Coalition."
213,"Røysumtunet, avdeling for ME",,,,A_klar,False,15,pem_kjerne;pem_definisjon;egen_retningslinje;skille_me_utmattelse;canadakriteriene_støtte;biopsykososial_kritikk;nice_2021;aktivitet_pacing;kognitiv_terapi_kritikk;kunnskapsgrunnlag_smalt;kunnskapsgrunnlag_forskning;alvorlig_syke;psykologisering;arbeidsgruppe_kritikk;kompetanseheving,"Røysumtunet er Norges eneste spesialiserte omsorgstilbud for alvorlig og svært alvorlig ME/CFS (8 plasser). Argumenterer ettertrykkelig for at retningslinjen må forholde seg til ME/CFS som somatisk sykdom – linje med USA, UK, Tyskland. Sterk kritikk av at arbeidsgruppen mangler klinisk erfaring med alvorlig syke. NICE 2021 må gjennomgående legges til grunn. Kritiserer at retningslinjen bruker forskning bygget på Oxford-kriteriene og refererer Kuut et al. 2024. Krever at GET avvises eksplisitt, og at CBT kun omtales som mestringsstøtte – ikke kjernebehandling. Mobiliseringslogikk er feil for alvorlig syke; energiavpassing og skjerming må være hovedprinsipp. Tilbyr seg å bidra til kompetanseoverføring."
214,"Privatperson (Hashimotos + overbelastning, støttende-pragmatisk)",,pasient_overbelastning_hashimotos_støttende,,pragmatisk,False,7,utmattelse_overbelastning;hashimotos_autoimmun_komorbid;lavt_stoffskifte;fastlege_kompetansebegrenset;tverrfaglig_støtte;læring_mestring;koordinerende_tiltak,Pragmatisk pasient med Hashimotos + overbelastnings-utmattelse. Generelt støttende til alle anbefalinger uten substansiell kritikk fra A eller B-leiren.
215,"Privatperson (20 års ME, LP-skadet)",,pasient_me_20_år_lp_skadet,,A_klar,False,8,pem_kjerne;egen_retningslinje;20_år_me;lp_forsøkt_redusert_syk;alvorlig_sykdom_operasjoner;infeksjon_trigger;internasjonal_forskningsfront;håp_redusert,20 års ME etter alvorlig sykdom/operasjoner med infeksjoner. **LP forsøkt → forverring**: 'Etter å ha gjennomført Lightening Prosses ble jeg mer redusert/syk'.
216,Privatperson,,pasient_aktivist,,A_klar,False,17,pem_kjerne;pem_definisjon;egen_retningslinje;canadakriteriene_støtte;biopsykososial_kritikk;nice_2021;aktivitet_pacing;lp_kritikk;lp_kommersielt;psykologisering;kunnskapsgrunnlag_smalt;kunnskapsgrunnlag_forskning;alvorlig_syke;barn_og_unge;tjenester_samhandling;arbeidsgruppe_kritikk;implementering_konkret,"Nynorsk innspill med sterk Recovery Norge/LP-kritikk: 'Alternative utøvere uten medisinsk utdanning har ikke lov til å sette medisinske diagnoser eller love medisinsk effekt'. Krever NKT og RN utelukket fra alt arbeid med medisinske veiledere. Henviser til at 72% av G93.3-pasienter i Tjenesten og MEg-studien rapporterte negative effekter av LP. Foreslår undergrupper av ME etter utløsende årsak (Epstein-Barr, Covid, vaksinerelaterte, nakkeskader). Foreslår hepafilter-luftrensing som forebyggende tiltak. Krever Røysumtunets ME-avdeling-overlege til å lede pleieavsnittet. Eneste innsender som påpeker mild ME = 50% tap av arbeidsevner som alvorlig graderingsfeil."
217,"Norges ME-forening, Oslo og Akershus fylkeslag",,,,A_klar,False,13,pem_kjerne;egen_retningslinje;skille_me_utmattelse;canadakriteriene_støtte;biopsykososial_kritikk;aktivitet_pacing;kunnskapsgrunnlag_smalt;kunnskapsgrunnlag_brukererfaring;alvorlig_syke;nav_arbeidsliv;kompetanseheving;psykologisering;lp_kritikk,"Største ME-forening-fylkeslaget (1350 medlemmer) argumenterer ettertrykkelig for at retningslinjen som den foreligger ikke vil forhindre alvorlig ME. Kritisk til at kunnskapsinnhentingen er selektiv (kun systematiske søk på aktivitetsbaserte intervensjoner og kognitiv atferdsterapi). Sammenligner medlemstall: 1350 i fylkeslaget mot under 300 i Recovery Norge på landsbasis. Vil ha føre-var-prinsipp ved infeksjon, eget kapittel om alvorlig ME, og avviser kapittelet om tillitsskapende tiltak som premiss (mener problemet er at pasienter IKKE får forsvarlig hjelp, ikke at de takker nei)."
218,Pårørendealliansen,,,,tjenestefaglig,False,1,alvorlig_syke,"Pårørendealliansen tar ikke stilling til de store konfliktlinjene i ME-debatten, men leverer fokusert innspill om pårørendes rolle. Berømmer at retningslinjen løfter fram pårørendes perspektiver. Vil ha tydeligere tekst om pårørendes situasjon, belastning og behov for støtte, særlig for unge pårørende."
219,Privatperson,,fagperson_privat_sannsynlig,,A_klar,False,19,pem_kjerne;pem_definisjon;egen_retningslinje;skille_me_utmattelse;canadakriteriene_støtte;biopsykososial_kritikk;nice_2021;aktivitet_pacing;kognitiv_terapi_kritikk;kunnskapsgrunnlag_smalt;kunnskapsgrunnlag_forskning;kunnskapsgrunnlag_brukererfaring;psykologisering;alvorlig_syke;barn_og_unge;implementering_konkret;kompetanseheving;tjenester_samhandling;arbeidsgruppe_kritikk,"Eksepsjonelt grundig, forskningsorientert innspill fra «Forsker» som er post-covid-pasient siden januar 2024 og omsorgsperson for kone med ME/CFS. Krever at post-infeksiøs utmattelse (inkl. ME/CFS og post-COVID) anerkjennes som etiologisk og mekanistisk distinkt sykdomskategori, og at det utvikles egen veileder eller minimum to klart adskilte kapitler i retningslinjen. Sentral metodisk kritikk: Retningslinjens egne GRADE-vurderinger viser lav til svært lav tillit, men anvender likevel sterk «bør»-formulering – brudd med GRADE-metodikk. Casson et al. 2023 brukes ulovlig som evidens for ME/CFS når studien dekker bredt definert kronisk utmattelse uten PEM-krav. Skadedata mangler fullstendig (50-74% rapporterer forverring etter GET). Foreslår PEM-stratifiserte anbefalinger etter Gloeckl 2024-modellen: uten PEM standard rehabilitering, mild PEM symptomtitrert, moderat-alvorlig PEM pacing som primærintervensjon. Personlig erfaring: gjennombruddet i bedring kom fra å akseptere fysiologiske begrensninger og praktisere streng pacing (Godthaab rehabiliteringssenter) – det motsatte av gradert aktivitet. Refererer Maeve Boothby O'Neill om dødelig fare ved uegnet sykehusinnleggelse. Foreslår 12 implementeringstiltak."
22,"Privatperson (81. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"81. mal-instans, ren standardmal."
220,FAFO,,,,A_klar,False,8,egen_retningslinje;skille_me_utmattelse;kunnskapsgrunnlag_brukererfaring;kunnskapsgrunnlag_forskning;psykologisering;dårlig_prognose;nav_arbeidsliv;arbeidsgruppe_kritikk,"FAFO er forskningsmiljøet bak 'Tjenesten og MEg' (2023) som dokumenterer systemiske problemer i tjenestetilbudet til ME-syke. Argumenterer for at retningslinjearbeidet ikke har lært av tidligere feil og ikke setter ambisiøse bedringsmål. Bruker det sosiologiske begrepet 'symbolsk vold' (Bourdieu) og refererer Merton om 'sosial sadisme' for å beskrive systemiske mønstre der ME-pasienter krenkes. Krever skille mellom behandlingsanbefalinger til ME-syke og andre utmattelsessyke. Refererer egen forskning (Kielland & Liu 2025 om lønns-/prognoseutvikling), Hilland & Anthun 2022 om insidens, Kielland et al. 2023 om diagnosekriterier og pasienterfaringer."
221,"Privatperson (ME etter kyssesyken 1994, 30 års sykehistorie)",,pasient_postviral_langvarig,,A_klar,False,14,pem_kjerne;pem_forsinket;egen_retningslinje;skille_me_utmattelse;epstein_barr_virus;biopsykososial_kritikk;psykologisering;kognitiv_terapi_kritikk;studyprn_kurs_anbefaling;nav_kritikk;alternativ_behandling_skadelig;egen_erfaring_forverring;selvstendig_næringsdrivende_forsøk;implementering_kursing,"Pasient med 30 års ME-sykehistorie etter kyssesyken (Epstein-Barr-virus) i 1994 — innspillet er primært et erfaringsvitnemål. Hovedhistorie: 'Feil råd om økt aktivitet førte til betydelig forverring av funksjonsnivået mitt, utallige sykemeldinger og endte opp som ufør etter en lang og helseskadelig prosess med NAV'. Forsøkte 'det meste' av anbefalte tiltak: medisin, alternativ behandling, svømming, turer, fysio, kursing, NAV-tiltak — alle resulterte i bivirkninger eller PEM. Sentralt poeng om PEM som forsinket reaksjon: 'Siden forverringen kommer flere dager etter aktivitet tok det mange år før jeg selv skjønte at det var nettopp for mye aktivitet (fysisk, mentalt, sosialt) som utløste forverringen og reaktiverte viruset'. Forsøkte å bli selvstendig næringsdrivende mot legens råd for å få bedre energikontroll — endte 100 % sengeliggende og økonomisk ruin. Konkret implementeringsforslag: anbefaler Bateman Horne Center digital kurs (studyprn.com/p/chronic-fatigue-syndrome) til norske leger. Sterk avvisning av psykosomatisk modell: 'ME er IKKE en sykdom du kan tenke deg frisk fra!'"
222,Privatperson ('Bli forstått' + 'Ja' på alle),,pasient_eller_pårørende_kort_støtte,,pragmatisk,False,2,bli_forstått;ja_på_alle,Pragmatisk minimum-innspill: 'Bli forstått' + Ja på alle anbefalinger.
223,"Privatperson (push/kræsj + nevroplastisk + Karlson-støtte, Skagen-bok)",,pasient_oku_karlsons_hybrid,,B_modifisert,False,9,push_crash_mønster_bryte;nevroplastisk_arbeid;ellen_flø_skagen_bok;nevroplastiske_nøkkelen_referanse;karlsson_støtte_eksplisitt;karlsonpsykologene_referanse;hjerne_skjerme_stressrespons;tilfriskning_nennsom;oku_terminologi,"**20. dokumenterte B-leiren-tilhenger**. Refererer **Ellen Flø Skagens bok 'Den nevroplastiske nøkkelen'** — sjelden direkte referanse til Recovery Norge-rammeverket. Eksplisitt støtte til Karlson: 'gi min støtte også til Karlsson i Karlssonpsykologene, som har sendt inn et grundig høringssvar'. Hybrid posisjon mellom Recovery Norge og Karlsons-leiren."
224,"Privatperson (OKU-pasient med Karolinska-modell-referanse, datter alvorlig syk)",,pasient_oku_karolinska_internasjonal,,B_modifisert,False,16,oku_karlsons_konkret;karolinska_kriterier_supplement;karolinska_spesialistklinikk_oku;canadakriteriene_supplere;overbelastningsforårsaket_hjerneutmattelse;livsmønster_utredning;underliggende_revmatisk_disposisjon;trening_kontraindikert_oku;ansvarsfrihet_anbefaling;kartlegge_aktiviteter_bakslag;sosial_omgang_skadelig;antidepressiva_skepsis;ktb_kognitiv_terapi_kritikk;datter_alvorlig_syk_ingen_støtte;moderne_hjerneforskning;feilbehandling_kostnadskrevende,"B_modifisert OKU-tilhenger med **internasjonal forankring til Karolinska-modellen**. Hovedanke: 'Canada kriteriene bør suppleres med mer aktuelle kriterier som tar utgangspunkt i hva som kjennetegner overbelastningsforårsaket hjerneutmattelse. Karolinska instituttet har utviklet slike kriterier. På Karolinska finnes det også en spesialist klinikk for utredning og behandling av pasienter med OKU'. **Sentralt konseptuelt poeng**: OKU oppstår ved overbelastning over tid og gir også fysiske symptomer. Konkrete fastlege-anbefalinger: (1) **'Det viktigste rådet bør være hvile og ansvarsfrihet'**; (2) kartlegging av aktiviteter som gir bakslag i bedringsfasen; (3) **'fysisk trening på de som har OKU ikke skal gis som råd'** — eksplisitt kontraindikasjon parallelt til A-sidens GET-kontraindikasjon for ME; (4) ved for kort sykmelding 'er risikoen stor at pasientens utmattelse forverres'; (5) sosial omgang kan gi bakslag — bør minimeres; (6) skepsis til antidepressiva og KTB. **Personlig kontekst**: 'min datter ..... år, er ikke arbeidsdyktig, og mottar ikke en krone i støtte fra Norge, eller ....., hvor hun bor'."
225,"Privatperson (mor til ME-datter 18 år, Paul Kavli, ME-mammaene)",,pårørende_me_mor_18_år,,A_klar,False,8,paul_kavli_diagnostiker;lp_forsøkt_virket_ikke;autisme_adhd_komorbid;me_mammaene_støttegruppe;18_år_sykehistorie;barn_unge_fanges_opp_tidlig;fra_skole_utdanning;venner_kontakt_orker_ikke,Pårørende-mor til ME-datter siden 18 år siden. **Dr. Paul Kavli** identifisert som diagnostiker. **LP forsøkt — 'det virket ikke'**. **'ME-mammaene'-støttegruppe** referert.
226,"Privatperson (raskere spesialist, individuell tilpasning)",,pasient_eller_pårørende_pragmatisk,,pragmatisk,False,10,ta_pasienten_på_alvor;raskere_spesialist;fastlege_kunnskapsmangel;energiløs_ikke_tåle_press;ro_hvile_individuell;barn_unge_skole_fra;ventetid_for_lang;psykisk_helse_unge;selvmord_statistikk_voksende;individuell_behandling_krav,"Pragmatisk pasient/pårørende-stemme. 'Støttes' i nær alle anbefalinger. Hovedkrav: raskere videresending til spesialist, individuell tilpasning. Refererer 'spykiske helsen blir stadig dårligere... selvmordstatistikken vokser. ME og utmattelse er ett voksende problem'."
227,"Privatperson (mor til ME-syk barn, NAV-kamp, barnepsykiatri-traume)",,pårørende_alvorlig_barn_kasteball,,A_klar,False,9,kasteball_mellom_avdelinger;barnepsykiatri_traume;nav_kamp_uføretrygd_4_år;fattigdomsgrense_10000;arbeidsutprøving_skadelig;spesifikt_forløp_med_ekspertise;fortelle_historie_gang_på_gang;pårørende_møtt_veggen_selv;systemet_gjør_sykere,"Pårørende-stemme: mor til alvorlig ME-syk barn. **Dramatisk fortelling om systemsvikt**: barnet plassert på barnepsykiatrisk en uke (traumatisk), NAV-utredninger, arbeidsutprøving da pasienten 'knapt klarte å stå på bena'. **4 år til uføretrygd, da pasienten var 22 år**. Før dette: 10 000 kr/mnd — halvparten av fattigdomsgrensen. Mor 'møtt veggen flere ganger' selv som pårørende. Hovedkrav: 'Et mer spesifikt forløp, der ekspertisen er til stede, så vi slipper å forholde oss til mange forskjellige avdelinger'."
228,"Privatperson (ren støtte til alle anbefalinger, repeterer høringsutkasts-tekst)",,pasient_eller_pårørende_støttende_ren,,pragmatisk,False,3,høringsutkast_støtte;canadakriteriene_støtte;ren_repetering_anbefaling,Repeterer høringsutkastets egne anbefalingsformuleringer som svar — ren støtte uten substansielt eget innhold.
229,"Privatperson (sykehusansatt, utbrent, Karlson/Liv Selland-rammeverk)",,pasient_oku_karlsons,,B_modifisert,False,11,utmattelse_overbelastning;utbrenthet_jobbstress;tilfriskning_håp;oku_karlsons_konkret;liv_selland_kurs;psykomotorisk_fysioterapi;meditasjon_egenbehandling;isolasjon_tiltak;ensomhet_alene;individuell_tilpasning;tid_lang_prosess,"Sykehusansatt (nynorsk) som ble utbrent etter 2 års 'helvetes periode' med underbemanning, opplæring av 3 nye vikarer og innføring av nytt datasystem. Sykemeldt august 202.. Detaljert beskrivelse av symptomer (irritabilitet, sinne, gråt, kjeve-/nakke-stivhet, dårlig samvittighet) og hovedanke: legen anbefalte å være alene, ikke trene hardt, ikke være sosial. Tilfriskningsrammeverket bygger på Rune Karlsons bok 'overbelastningsforårsaket kronisk utmattelse', psykolog Liv Sellands kurs 'Tilbake fra utbrenthet', helsepsykolog-konsultasjoner på morsmål, psykomotorisk fysioterapi og meditasjon. Etterlyser at fastlege kan henvise direkte til psykomotorisk fysioterapeut. Tiltakene som anbefales er konsistente med OKU-modellen: 'fred, rolige bevegelser, rolige omgivelser, ikke kognitiv tenkning, planlegging eller samtaler'."
23,"Privatperson (ME som paraply-syndrom, brobyggende)",,pragmatisk_brobygger_paraply,,pragmatisk,False,10,me_paraply_syndrom;ulike_veier_inn_lidelsen;ulike_veier_ut_sykdommen;noen_blir_friske_av_metoder_andre_avviser;intern_kamp_pasientmiljø;kartlegging_5_faktorer;symptomer_livssituasjon_funksjonsnivå_motivasjon;endringskapasitet_pasient;anerkjennelse_etter_diagnose;fysiologisk_psykologisk_sosial_kombinert,"Substansielt pragmatisk-brobyggende innspill. Hovedanke: 'ME er mer en paraply-benevnelse og et syndrom som ikke rommer en homogen gruppe av pasienter'. Anerkjenner historikk: 'ME-Foreningen ble etablert av desperate pasienter som hver for seg stod maktesløse'. **Sentralt poeng om intern kamp**: 'samholdet splittes og intern kamp oppstår fordi noen pasienter blir friske av metoder som andre ikke vil eller kan godkjenne'. Foreslår strukturert kartlegging: symptomer, livssituasjon, funksjonsnivå, motivasjon/endringskapasitet. Brobyggende mellom A og B."
230,Privatperson (deklarert VERNEPLEIER + Master i psykososialt arbeid),,fagperson_privat_identifisert_vernepleier,,pragmatisk,False,7,fagperson_vernepleier_master;kronisk_stress_sverige_diagnose;17_mnd_sykmeldt_egen;kognitiv_svikt_følelsesregulering;nervesystem_regulering;ro_stillhet;oppvekst_krav_forventninger,**6. fagperson_privat_identifisert: VERNEPLEIER med Master i psykososialt arbeid**. Hovedanke: stress som diagnose i Sverige. Egen 17 måneders sykmelding. Hybrid med OKU-rammeverk men ikke Karlson-referanse.
231,"Privatperson (mentor-forslag, savnet håp fra fastlege)",,pasient_pragmatisk_håp_mentor,,pragmatisk,False,7,fastlege_ikke_diagnose;håp_savnet_fra_lege;psykoterapeut_oppfølging;mentor_tiltak_forslag;overlevd_lignende_situasjon;ensomhet_tap_av_mening;selvmordsrisiko,Pragmatisk pasient. Sjelden konstruktivt forslag: 'Mentor-tiltak' der en som har 'overlevd' og er friskere kan støtte den nye pasienten. Savner håp fra fastlege.
232,"Privatperson (Karlson-bok-tilfrisket, 4 barn-traume, 5 uker på hytta)",,pasient_oku_karlsons_tilfrisket,,B_modifisert,False,10,oku_karlsons_konkret;boka_karlson_facebook_funn;konsultasjon_karlson;5_uker_hytte_isolasjon;alarm_beredskap_2_år;barnetraume_pårørende_belastning;tilfrisket_egen_historie;fastlege_forstod;arbeidsgiver_lite_forståelse;overbelastning_arbeidsliv_forståelse,"**18. dokumenterte OKU/Karlsons-tilhenger**. Tilfrisket gjennom Karlsons-bok funnet på Facebook. Beredskap-tilstand etter 2 år med barn-traumer. Konsultasjon med Karlson + 5 uker isolasjon på hytta = tilfrisket. **Fastlege forstod, arbeidsgiver IKKE forstod**. Krav: 'mer forståelse i arbeidslivet for overbelastningsforårsaket utmattelse'."
233,Privatperson (overbelastning av hjernen-konsept),,pasient_oku_hjerne_overbelastning,,B_modifisert,False,5,utmattelse_overbelastning_hjerne;oku_konsept;ikke_psykologisk_diagnose;kontraproduktiv_behandling;generelle_råd_skadelig,**32. B-leiren-tilhenger**. Savner beskrivelse av 'utmattelsestilstand som begrunnes i overbelastning (av hjernen) over tid' — OKU-rammeverk uten direkte Karlson-referanse.
